CT_ID_10,TotalPop,PopDen,SexRatio,AgeU18,Age1834,Age3564,AgeO65,ForBorn,White,Black,Asian,Hispanic,TwoOrMore,EthHet,MedHouseIncome,PubAssist,GINI,FamPovPer,UnempRate,TotalHouseH,FamHousePer,FemHeadPer,SameSexCoupPer,GrandHeadPer,LessThanHS,HSGrad,SomeColl,Bach,Master,Prof,Doc,CommuteLess10,Commute1030,Commute3060,Commute6090,CommuteOver90,ByAuto,ByPubTrans,ByBike,ByWalk,TotalHouseUnits,VacantUnitPer,RentersPer,HomeOwnPer,MedGrossRent,MedHomeVal,MedYrBuiltRaw,MedYrBuilt,MedYrMovedInraw,MedYrRentMovedIn,MedYrOwnMovedIn
25009252602,4423,849.4177718,1.071662763,0.237395433,0.208229708,0.433642324,0.120732534,0.105358354,0.791544201,0.029165725,0.069862085,0.082749265,0.026678725,0.360878987,110039,0.013218771,0.3709,0.026315789,0.058407738,1513,0.778585592,0.140916808,0.127272727,0,0.053103219,0.227016263,0.320610687,0.243942914,0.134085629,0.016926651,0.004314637,0.094232331,0.463444354,0.287977254,0.084484159,0.069861901,0.943493832,0.023875846,0,0.011142061,1577,0.040583386,0.262392597,0.737607403,1473,375600,1986,1980 to 1989,2004,2012,2000
25009252603,2918,1929.6212,0.946631087,0.219328307,0.210760795,0.468471556,0.101439342,0.172035641,0.759424263,0.023303633,0.044551062,0.168951337,0.003769705,0.392202378,81463,0.030640669,0.373,0.013924051,0.045717288,1077,0.733519034,0.069620253,0,0,0.048034934,0.280446385,0.225618632,0.327510917,0.101892285,0.013585638,0.002911208,0.079977629,0.533557047,0.261744966,0.083892617,0.04082774,0.954295154,0.007709251,0,0.012665198,1100,0.020909091,0.207056639,0.792943361,1117,330400,1984,1980 to 1989,2001,2010,1998
25009253100,5189,5078.329667,0.974505327,0.207361727,0.197918674,0.427442667,0.167276932,0.096550395,0.839082675,0.038543072,0.033917903,0.065908653,0.022547697,0.288960322,75804,0,0.3871,0.062453532,0.102984585,2311,0.581999135,0.153159851,0,0,0.047295532,0.258688268,0.247713614,0.258426966,0.139534884,0.038672589,0.009668147,0.140489345,0.445540647,0.325966851,0.055643252,0.032359905,0.923135464,0.034246575,0,0.006849315,2587,0.106687283,0.375162267,0.624837733,1295,331500,1939,Prior to 1940,2003,2007,2001
25009253201,2969,1245.141095,1.209077381,0.186594813,0.202088245,0.417985854,0.193331088,0.077803974,0.870663523,0.017177501,0.023576962,0.047153924,0.04142809,0.238870597,71729,0.025231287,0.4646,0.054179567,0.047044632,1189,0.543313709,0.176470588,0.132352941,0,0.032708033,0.261664262,0.285233285,0.271284271,0.108225108,0.028860029,0.012025012,0.107073329,0.440622972,0.302401038,0.108371188,0.041531473,0.903144654,0.030188679,0,0.029559748,1299,0.084680523,0.339781329,0.660218671,1077,329400,1961,1960 to 1969,2005,2010,2001
25009253202,6905,4309.907924,0.75476493,0.198696597,0.321071687,0.387110789,0.093120927,0.193772629,0.755973932,0.049963794,0.053294714,0.12512672,0.007385952,0.407510011,86394,0.009746589,0.4219,0.040024631,0.080400719,2565,0.633138402,0.110837438,0,0,0.05058651,0.196725318,0.222385142,0.315004888,0.174242424,0.028103617,0.012952102,0.141205113,0.316494218,0.397748022,0.092513694,0.052038953,0.869301789,0.030871321,0,0.038372764,2701,0.050351722,0.502923977,0.497076023,1523,298200,1971,1970 to 1979,2006,2011,2002
25009253203,4504,827.0172857,0.930561509,0.24134103,0.108792185,0.442717584,0.207149201,0.061944938,0.896980462,0.00777087,0.039520426,0.033081705,0.022646536,0.192709401,145607,0.007677543,0.4619,0,0.024173028,1563,0.806142035,0.057142857,0,0.006349206,0.026619628,0.105837075,0.144644003,0.390314304,0.206863374,0.081783194,0.043938422,0.088845968,0.388218252,0.324480927,0.153066152,0.045388701,0.845113438,0.015706806,0,0.037521815,1648,0.05157767,0.103007038,0.896992962,1563,597600,1984,1980 to 1989,2003,2011,2002
25009253204,5825,638.9061096,0.954042268,0.265236052,0.15055794,0.437081545,0.147124464,0.116566524,0.830729614,0.00360515,0.114506438,0.020429185,0.030729614,0.296346236,150887,0.016806723,0.3457,0.026993865,0.027238679,1904,0.856092437,0.08404908,0,0,0.02300885,0.113527181,0.13426043,0.360303413,0.275094817,0.049051833,0.044753477,0.03203125,0.38203125,0.4078125,0.1109375,0.0671875,0.843738977,0.05643739,0,0.002821869,1941,0.019062339,0.086659664,0.913340336,1765,562400,1992,1990 to 1999,2004,2013,2003
25009253205,4313,640.407667,1.173891129,0.296081614,0.138882448,0.432181776,0.132854162,0.090656156,0.904706701,0.014607002,0.04845815,0.032228147,0,0.177905575,154844,0.027046784,0.375,0.017756255,0.035917652,1368,0.905701754,0.092816788,0,0.020177563,0.009308987,0.114572145,0.175080559,0.387755102,0.218045113,0.06301468,0.032223416,0.052835676,0.450315075,0.302956859,0.156568105,0.037324285,0.912007333,0.029330889,0,0,1415,0.033215548,0.023391813,0.976608187,,573500,1986,1980 to 1989,2000,,2001
25009254100,6257,2380.589541,1.082889481,0.22518779,0.120824676,0.486974588,0.167012946,0.167971872,0.805977305,0.024932076,0.119066645,0.03036599,0.019657983,0.334680015,102384,0.022370487,0.4439,0.021118721,0.056049005,2548,0.687598116,0.12043379,0,0.025684932,0.038097385,0.130297565,0.165013526,0.330928765,0.230387737,0.052524797,0.052750225,0.113380282,0.429577465,0.259507042,0.157746479,0.039788732,0.792088918,0.091533181,0,0.038901602,2793,0.087719298,0.226844584,0.773155416,1159,487700,1957,1950 to 1959,2003,2006,2002
25009254200,5355,4383.844686,1.215556475,0.195704949,0.324183007,0.346031746,0.134080299,0.098412698,0.848926237,0.014005602,0.054901961,0.057329599,0.020915033,0.272827179,92279,0.032258065,0.5193,0.0651341,0.028318584,1891,0.552088842,0.227011494,0.085714286,0,0.048184818,0.085148515,0.17359736,0.332673267,0.256435644,0.053135314,0.050825083,0.165811966,0.368376068,0.260683761,0.156837607,0.048290598,0.744204019,0.037094281,0.005023184,0.101236476,1991,0.050226017,0.433632998,0.566367002,1010,524600,1939,Prior to 1940,2007,2011,2003
25009254301,4211,913.0241658,1.160595177,0.267632391,0.132985039,0.453573973,0.145808597,0.134884825,0.800997388,0.052481596,0.092852054,0.014010924,0.039658038,0.346831057,159917,0.007137193,0.3899,0,0.029539952,1261,0.877874703,0.08762421,0,0,0.022596844,0.111908178,0.12517934,0.325681492,0.25143472,0.070301291,0.092898135,0.203835616,0.296438356,0.304657534,0.14739726,0.047671233,0.801558442,0.036363636,0.016623377,0.074805195,1287,0.02020202,0.128469469,0.871530531,,623300,1969,1960 to 1969,2002,2011,2001
25009254302,4549,675.6628422,1.083829592,0.267311497,0.103978896,0.486920202,0.141789404,0.178940426,0.800835348,0.009452627,0.142668718,0.015387997,0.017586283,0.337982239,161875,0,0.4012,0.007794232,0.037238494,1578,0.813054499,0.054559626,0,0,0.01390236,0.050113159,0.12447462,0.397348852,0.278370514,0.095053346,0.040737148,0.090780142,0.422695035,0.295508274,0.15177305,0.039243499,0.872799296,0.029929577,0,0.013644366,1646,0.041312272,0.034854246,0.965145754,1393,617900,1968,1960 to 1969,1998,2012,1998
25009254401,3426,1347.01192,1.040500298,0.296847636,0.132224168,0.423817863,0.147110333,0.187974314,0.699941623,0.017513135,0.180093403,0.058669002,0.030064215,0.473899329,133750,0.035683203,0.4115,0.039755352,0.057428872,1149,0.853785901,0.110091743,0,0.013251784,0.010421386,0.101042139,0.122338015,0.329406434,0.26869053,0.085636611,0.082464884,0.102731591,0.430522565,0.304038005,0.087885986,0.074821853,0.887691435,0.041973908,0.013045944,0.012478729,1211,0.051197358,0.204525674,0.795474326,1903,563300,1969,1960 to 1969,2002,2012,1998
25009254402,7204,682.4707026,1.102130143,0.277207107,0.170599667,0.455441421,0.096751805,0.203914492,0.735702388,0.027901166,0.179344808,0.033870072,0.023042754,0.42465178,154922,0,0.403,0.015664477,0.045949535,2467,0.802188893,0.086407276,0,0,0.031284183,0.070662875,0.123605338,0.360971341,0.297965434,0.059068038,0.056442792,0.153653966,0.355090568,0.311367895,0.116801999,0.063085572,0.862789385,0.031338227,0,0.000282326,2467,0,0.202269964,0.797730036,1529,611100,1982,1980 to 1989,2003,2012,1999
25009254403,3961,1550.522695,0.929371651,0.262055037,0.129007826,0.453925776,0.155011361,0.120929058,0.842211563,0.00504923,0.110830598,0.034082302,0.007826306,0.277209164,154191,0.016342412,0.4388,0.043915828,0.063859324,1285,0.850583658,0.086916743,0.255813953,0,0.030478395,0.097222222,0.185185185,0.300925926,0.255401235,0.079861111,0.050925926,0.085609244,0.419642857,0.345588235,0.12657563,0.022584034,0.864448858,0.062562066,0,0.010923535,1348,0.046735905,0.080155642,0.919844358,1406,602600,1970,1970 to 1979,2000,2006,2000
