ID Academic Rank,Academic Rank,ID Gender,Gender,ID Year,Year,ID University,University,Total Instructional Employees,Slug University,share
5,"Lecturer",2,"Female",2013,"2013","167358","Northeastern University",47,"northeastern-university",0.04140969162995595
3,"Assistant professor",1,"Male",2013,"2013","167358","Northeastern University",103,"northeastern-university",0.0907488986784141
6,"No academic rank",2,"Female",2012,"2012","167358","Northeastern University",186,"northeastern-university",0.16607142857142856
3,"Assistant professor",1,"Male",2012,"2012","167358","Northeastern University",96,"northeastern-university",0.08571428571428572
5,"Lecturer",2,"Female",2012,"2012","167358","Northeastern University",43,"northeastern-university",0.038392857142857145
2,"Associate professor",1,"Male",2012,"2012","167358","Northeastern University",155,"northeastern-university",0.13839285714285715
1,"Professor",1,"Male",2012,"2012","167358","Northeastern University",243,"northeastern-university",0.21696428571428572
6,"No academic rank",1,"Male",2012,"2012","167358","Northeastern University",113,"northeastern-university",0.10089285714285715
1,"Professor",2,"Female",2012,"2012","167358","Northeastern University",69,"northeastern-university",0.06160714285714286
2,"Associate professor",2,"Female",2012,"2012","167358","Northeastern University",99,"northeastern-university",0.08839285714285715
5,"Lecturer",1,"Male",2012,"2012","167358","Northeastern University",48,"northeastern-university",0.04285714285714286
3,"Assistant professor",2,"Female",2012,"2012","167358","Northeastern University",68,"northeastern-university",0.060714285714285714
